3.01E-01,4.40E-01,4.50E-01,5.34E-03,6.00E-01,8.93E-01,7.13E-01,6.06E-01,6.73E-01,8.47E-02,1.46E-01,4.27E-01,8.89E-01,2.82E-01,8.15E-01,2.28E-01,5.52E-02,3.49E-01,7.43E-01,4.42E-01,3.74E-14,9.20E-12,3.89E-13,1.10E-15,6.30E-11,5.03E-14,1.66E-12,6.80E-14,9.13E-16,3.13E-11,1.95E-12,2.62E-15,1.05E-15,9.88E-15,1.13E-15,6.96E-17,5.03E-12,4.94E-16,8.33E-14,2.19E-12,-0.026265573,-0.36807013,0.29609776,-0.49021867,0.28585947,0.20804657,-0.12171331,0.52658546,0.34337464,-0.028892282
3.80E-01,9.03E-01,9.10E-01,9.49E-01,2.78E-01,6.41E-01,1.81E-01,3.85E-01,6.20E-01,5.42E-01,4.61E-03,8.60E-01,5.08E-01,9.50E-02,9.23E-01,8.64E-01,4.25E-01,5.42E-01,3.77E-01,4.94E-01,2.58E-09,9.89E-05,2.24E-08,1.46E-08,0.001471147,2.23E-08,2.39E-05,6.38E-08,1.25E-09,6.83E-07,1.30E-08,5.29E-12,5.38E-10,1.31E-08,1.55E-08,1.27E-10,8.73E-09,0,7.61E-11,5.33E-11,0,0,0,0,0,0,0,0,0,0
9.68E-01,3.74E-01,4.79E-01,2.39E-01,5.30E-01,1.44E-01,2.42E-01,2.45E-01,6.93E-01,5.88E-01,1.59E-01,2.32E-01,3.58E-01,5.36E-01,5.51E-01,6.73E-01,1.84E-01,5.16E-01,7.36E-01,3.09E-01,3.04E-10,3.37E-05,2.69E-09,1.75E-09,0.000107951,2.68E-09,6.68E-06,7.67E-09,2.52E-11,4.96E-08,1.56E-09,2.33E-13,6.21E-11,1.57E-09,1.81E-09,5.91E-12,2.91E-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2.29E-01,1.78E-01,8.79E-01,7.85E-01,1.89E-01,8.98E-01,4.63E-02,2.13E-01,1.68E-02,5.24E-01,5.18E-02,8.30E-01,4.99E-01,3.57E-01,5.27E-01,7.96E-01,2.05E-01,5.02E-01,6.19E-01,2.53E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.08E-01,0.00E+00,7.97E-01,6.12E-02,1.44E-01,6.77E-01,4.38E-01,3.73E-01,6.71E-01,5.60E-01,8.38E-01,5.51E-01,6.66E-01,1.97E-01,8.97E-01,6.19E-01,4.29E-01,3.95E-01,5.81E-01,2.15E-01,4.28E-12,0.000190162,4.15E-11,2.73E-11,1.58E-05,4.15E-11,4.15E-05,1.25E-10,1.18E-08,8.14E-09,2.44E-11,8.43E-12,2.95E-11,2.48E-11,5.30E-11,5.63E-13,2.99E-09,2.80E-13,0,1.23E-12,0.05335349,-0.12406728,0.007956763,0.36595255,-0.1631581,0.41508296,-0.64186394,0.038326427,0.13676931,0.46550784
9.54E-01,5.58E-01,3.85E-01,3.75E-01,5.22E-01,6.29E-01,2.89E-01,4.14E-01,5.05E-01,9.23E-01,3.86E-01,1.94E-02,1.75E-02,9.29E-01,3.24E-01,8.13E-01,2.39E-01,8.55E-02,1.81E-01,1.39E-01,4.14E-11,0.000186194,1.04E-10,1.18E-10,2.16E-05,2.02E-10,0.000281724,3.60E-10,1.03E-10,1.15E-07,5.27E-11,8.63E-11,2.86E-09,3.69E-10,5.65E-11,9.69E-13,2.07E-07,1.87E-10,3.08E-11,9.19E-11,0,0,0,0,0,0,0,0,0,0
8.38E-01,2.47E-01,8.82E-01,9.46E-01,7.40E-01,8.18E-01,1.98E-01,2.69E-01,1.59E-01,4.52E-01,2.68E-01,3.55E-04,2.82E-01,4.09E-01,7.63E-01,5.26E-01,5.27E-01,1.00E-01,4.17E-01,6.71E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.72E-01,1.58E-01,5.90E-01,6.91E-01,9.41E-01,8.12E-01,7.00E-01,9.34E-01,1.91E-01,3.50E-01,2.24E-01,5.24E-02,6.83E-01,6.42E-01,1.08E-01,2.65E-01,4.78E-01,4.78E-01,2.20E-01,4.02E-01,6.23E-11,0.000380706,6.82E-11,1.02E-10,4.42E-05,1.13E-10,0.000423539,5.28E-10,7.91E-11,1.78E-07,7.60E-11,3.92E-11,3.89E-09,1.79E-10,9.21E-11,2.34E-12,4.19E-07,8.42E-11,8.06E-11,2.06E-10,0,0,0,0,0,0,0,0,0,0
7.75E-01,5.80E-01,5.78E-01,2.92E-01,4.16E-01,1.20E-01,5.17E-01,3.29E-01,9.25E-01,4.32E-01,9.40E-01,9.36E-01,3.44E-01,3.46E-01,5.31E-01,8.72E-01,9.25E-01,8.57E-01,3.80E-01,5.89E-01,1.31E-11,8.50E-05,1.51E-11,2.17E-11,1.77E-05,2.25E-11,9.95E-05,1.28E-10,1.17E-11,1.15E-07,2.03E-11,6.54E-12,8.46E-10,3.20E-11,9.66E-11,4.57E-12,1.09E-07,1.40E-11,2.10E-11,5.24E-11,-0.04009097,-0.46053925,-0.18862206,-0.29008102,-0.29081497,-0.25189182,0.46236154,-0.00273385,-0.5354882,-0.13422029
6.42E-01,6.69E-01,5.20E-01,7.90E-01,2.65E-01,1.43E-01,6.55E-01,3.98E-01,7.92E-01,3.93E-01,3.32E-01,7.33E-01,2.64E-01,1.30E-01,1.25E-01,8.50E-01,2.89E-01,1.46E-02,1.67E-02,1.94E-01,4.31E-10,7.36E-09,5.84E-10,1.59E-13,8.28E-10,1.79E-12,1.67E-08,5.31E-11,1.07E-11,3.02E-09,2.56E-11,2.21E-11,9.83E-11,3.90E-11,5.01E-10,7.37E-12,8.68E-10,0,9.92E-11,8.27E-10,0.51132375,-0.15404126,-0.10888744,0.12913705,-0.48454517,0.52679396,0.14986473,0.32590896,-0.19615586,-0.0826889
